Ground;Span;Mat;Won;Tied;NR;Runs;Wkts;Balls;Ave;RPO
Eden Gardens, Kolkata - India;2013-2017;4;4;0;0;2161;72;2297;3001;564
Feroz Shah Kotla, Delhi - India;2013-2019;4;4;0;0;1789;75;2331;2385;46
Melbourne Cricket Ground - Australia;2013-2019;15;15;0;0;7656;217;8482;3528;541
Saurashtra Cricket Association Stadium, Rajkot - India;2013-2015;2;2;0;0;1163;26;1200;4473;581
Adelaide Oval - Australia;2013-2019;10;10;0;0;4863;157;5645;3097;516
Nehru Stadium, Kochi - India;2013-2014;3;3;0;0;1384;46;1567;3008;529
Brisbane Cricket Ground, Woolloongabba, Brisbane - Australia;2013-2018;8;8;0;0;3671;123;4189;2984;525
JSCA International Stadium Complex, Ranchi - India;2013-2019;5;4;0;1;2303;68;2522;3386;547
Boland Park, Paarl - South Africa;2013-2018;3;3;0;0;1478;51;1711;2898;518
Sydney Cricket Ground - Australia;2013-2019;16;14;0;2;7535;209;7876;3605;574
Diamond Oval, Kimberley - South Africa;2013-2018;3;3;0;0;1327;40;1514;3317;525
Bellerive Oval, Hobart - Australia;2013-2018;6;6;0;0;3167;94;3192;3369;595
Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh - India;2013-2019;5;5;0;0;3056;67;2957;4561;62
Senwes Park, Potchefstroom - South Africa;2013-2015;2;2;0;0;935;30;1164;3116;481
Himachal Pradesh Cricket Association Stadium, Dharamsala - India;2013-2017;4;4;0;0;1664;56;1987;2971;502
W.A.C.A. Ground, Perth - Australia;2013-2017;12;12;0;0;5197;177;5918;2936;526
Manuka Oval, Canberra - Australia;2013-2016;7;7;0;0;4226;110;4026;3841;629
Seddon Park, Hamilton - New Zealand;2013-2019;16;15;0;1;7748;215;8165;3603;569
McLean Park, Napier - New Zealand;2013-2019;8;8;0;0;3770;110;4299;3427;526
National Cricket Stadium, St George's, Grenada - West Indies;2013-2019;7;6;0;1;3051;87;3346;3506;547
Eden Park, Auckland - New Zealand;2013-2017;12;10;1;1;5214;187;5603;2788;558
Sharjah Cricket Stadium - U.A.E.;2013-2019;31;31;0;0;12905;470;15659;2745;494
Mangaung Oval, Bloemfontein - South Africa;2013-2018;3;3;0;0;1430;48;1448;2979;592
ICC Academy, Dubai - U.A.E.;2013-2019;23;22;0;1;10524;326;12214;3228;516
SuperSport Park, Centurion - South Africa;2013-2019;12;11;0;1;5669;159;5826;3565;583
The Wanderers Stadium, Johannesburg - South Africa;2013-2019;9;9;0;0;4683;122;4663;3838;602
Kingsmead, Durban - South Africa;2013-2019;9;9;0;0;4480;132;4820;3393;557
Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota - Sri Lanka;2013-2017;12;10;0;2;5460;138;5340;3956;613
Willowmoore Park, Benoni - South Africa;2013-2016;3;3;0;0;1312;40;1488;328;529
Pallekele International Cricket Stadium - Sri Lanka;2013-2018;15;15;0;0;6879;224;7503;307;55
Queens Sports Club, Bulawayo - Zimbabwe;2013-2018;31;28;2;1;13034;441;15933;2955;49
Grange Cricket Club, Raeburn Place, Edinburgh - Scotland;2013-2019;12;10;0;2;5523;160;5884;3451;563
Castle Avenue, Dublin - Ireland;2013-2019;8;7;1;0;4092;109;4506;3754;544
VRA Ground, Amstelveen - Netherlands;2013-2018;5;4;1;0;2273;86;2845;2643;479
Lord's, London - England;2013-2018;7;7;0;0;3549;110;3851;3226;552
The Rose Bowl, Southampton - England;2013-2019;8;8;0;0;4766;103;4522;4627;632
Trent Bridge, Nottingham - England;2013-2019;9;7;1;1;4944;112;4530;4414;654
Sophia Gardens, Cardiff - England;2013-2018;14;13;1;0;6690;221;7264;3027;552
Kennington Oval, London - England;2013-2019;17;15;0;2;8038;208;8369;3864;576
Edgbaston, Birmingham - England;2013-2017;15;12;0;3;5950;182;6654;3269;536
Sabina Park, Kingston, Jamaica - West Indies;2013-2017;5;5;0;0;2229;68;2710;3277;493
Mannofield Park, Aberdeen - Scotland;2013-2014;3;3;0;0;1094;45;1316;2431;498
Queen's Park Oval, Port of Spain, Trinidad - West Indies;2013-2017;6;5;0;1;2224;80;2661;278;501
Providence Stadium, Guyana - West Indies;2013-2018;10;10;0;0;4317;154;5477;2803;472
Darren Sammy National Cricket Stadium, Gros Islet, St Lucia - West Indies;2013-2019;7;5;1;1;2255;84;2944;2684;459
R.Premadasa Stadium, Khettarama, Colombo - Sri Lanka;2013-2018;18;18;0;0;8533;268;9277;3183;551
Harare Sports Club - Zimbabwe;2013-2019;50;50;0;0;20917;739;26328;283;476
Maple Leaf North-West Ground, King City - Canada;2013-2013;2;1;0;1;342;22;439;1554;467
The Village, Malahide, Dublin - Ireland;2013-2019;16;14;0;2;6890;202;7508;341;55
Civil Service Cricket Club, Stormont, Belfast - Ireland;2013-2019;11;10;0;0;4335;174;5766;2491;451
Old Trafford, Manchester - England;2013-2018;6;6;0;0;2294;87;2627;2636;523
Maharashtra Cricket Association Stadium, Pune - India;2013-2018;4;4;0;0;2227;64;2349;3479;568
Sawai Mansingh Stadium, Jaipur - India;2013-2013;1;1;0;0;721;6;561;12016;771
Shere Bangla National Stadium, Mirpur, Dhaka - Bangladesh;2013-2018;43;42;0;1;18425;668;22113;2758;499
Vidarbha Cricket Association Stadium, Jamtha, Nagpur - India;2013-2019;3;3;0;0;1678;42;1741;3995;578
Dubai International Cricket Stadium - U.A.E.;2013-2019;24;22;1;1;10333;352;12910;2935;48
M.Chinnaswamy Stadium, Bengaluru - India;2013-2017;2;2;0;0;1356;29;1171;4675;694
Khan Shaheb Osman Ali Stadium, Fatullah - Bangladesh;2013-2014;6;6;0;0;3184;89;3550;3577;538
Sheikh Zayed Stadium, Abu Dhabi - U.A.E.;2013-2019;25;25;0;0;11229;399;14129;2814;476
Rangiri Dambulla International Stadium - Sri Lanka;2013-2018;12;10;0;2;4633;152;5098;3048;545
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam - India;2013-2018;4;3;1;0;2001;56;2098;3573;572
Newlands, Cape Town - South Africa;2013-2019;7;7;0;0;3526;106;3847;3326;549
Green Park, Kanpur - India;2013-2017;3;3;0;0;1798;35;1777;5137;607
St George's Park, Port Elizabeth - South Africa;2013-2019;8;8;0;0;3664;109;4221;3361;52
Queenstown Events Centre - New Zealand;2014-2014;1;1;0;0;407;9;252;4522;969
Saxton Oval, Nelson - New Zealand;2014-2019;11;10;0;1;5345;134;5569;3988;575
Hagley Oval, Christchurch - New Zealand;2014-2019;14;14;0;0;6365;208;6903;306;553
Bert Sutcliffe Oval, Lincoln - New Zealand;2014-2014;2;2;0;0;1060;26;1114;4076;57
Bay Oval, Mount Maunganui - New Zealand;2014-2019;9;9;0;0;4740;135;5033;3511;565
Westpac Stadium, Wellington - New Zealand;2014-2019;11;11;0;0;5410;165;5843;3278;555
Sir Vivian Richards Stadium, North Sound, Antigua - West Indies;2014-2017;7;7;0;0;3200;110;4009;2909;478
Bayuemas Oval, Kuala Lumpur - Malaysia;2014-2014;1;1;0;0;434;14;556;31;468
Kinrara Academy Oval, Kuala Lumpur - Malaysia;2014-2018;3;3;0;0;1279;52;1723;2459;445
Riverside Ground, Chester-le-Street - England;2014-2018;3;3;0;0;1454;46;1475;316;591
Warner Park, Basseterre, St Kitts - West Indies;2014-2018;5;5;0;0;2787;70;2888;3981;579
Headingley, Leeds - England;2014-2019;6;5;0;0;3262;83;3351;393;584
Barabati Stadium, Cuttack - India;2014-2017;2;2;0;0;1304;29;1136;4496;688
Sardar Patel (Gujarat) Stadium, Motera, Ahmedabad - India;2014-2014;1;1;0;0;549;12;567;4575;58
Tony Ireland Stadium, Townsville - Australia;2014-2014;2;2;0;0;930;33;1118;2818;499
Rajiv Gandhi International Stadium, Uppal, Hyderabad - India;2014-2019;2;2;0;0;963;25;1145;3852;504
Zahur Ahmed Chowdhury Stadium, Chattogram - Bangladesh;2014-2018;6;6;0;0;2872;74;3224;3881;534
Buffalo Park, East London - South Africa;2015-2017;2;2;0;0;784;27;894;2903;526
University Oval, Dunedin - New Zealand;2015-2019;8;8;0;0;3876;135;4302;2871;54
Gaddafi Stadium, Lahore - Pakistan;2015-2015;3;2;0;1;1610;28;1538;575;628
Holkar Cricket Stadium, Indore - India;2015-2017;2;2;0;0;1059;30;1149;353;553
MA Chidambaram Stadium, Chepauk, Chennai - India;2015-2017;2;2;0;0;981;33;1026;2972;573
Wankhede Stadium, Mumbai - India;2015-2017;2;2;0;0;1226;26;1110;4715;662
Basin Reserve, Wellington - New Zealand;2016-2018;3;3;0;0;1498;48;1651;312;544
Mission Road Ground, Mong Kok, Hong Kong - Hong Kong;2016-2016;4;4;0;0;1654;70;2123;2362;467
Kensington Oval, Bridgetown, Barbados - West Indies;2016-2019;7;6;0;1;3271;99;3461;3304;567
County Ground, Bristol - England;2016-2019;4;3;0;1;1848;55;1746;336;635
Greater Noida Sports Complex Ground, Greater Noida - India;2017-2017;5;5;0;0;2629;79;2918;3327;54
Sinhalese Sports Club Ground, Colombo - Sri Lanka;2017-2017;1;1;0;0;490;19;567;2578;518
Galle International Stadium - Sri Lanka;2017-2017;2;2;0;0;951;22;969;4322;588
Amini Park, Port Moresby - P.N.G.;2017-2017;2;2;0;0;862;34;1145;2535;451
Cobham Oval (New), Whangarei - New Zealand;2017-2017;1;1;0;0;497;14;576;355;517
Perth Stadium - Australia;2018-2018;2;2;0;0;811;34;981;2385;496
Bulawayo Athletic Club - Zimbabwe;2018-2018;3;3;0;0;1130;46;1529;2456;443
Old Hararians, Harare - Zimbabwe;2018-2018;5;5;0;0;2156;75;2522;2874;512
Barsapara Cricket Stadium, Guwahati - India;2018-2018;1;1;0;0;648;10;553;648;703
Brabourne Stadium, Mumbai - India;2018-2018;1;1;0;0;530;15;518;3533;613
Greenfield International Stadium, Thiruvananthapuram - India;2018-2018;1;1;0;0;209;11;280;19;447
Sylhet International Cricket Stadium - Bangladesh;2018-2018;1;1;0;0;400;11;531;3636;451
Rajiv Gandhi International Cricket Stadium, Dehradun - India;2019-2019;5;4;0;1;1864;67;2524;2782;443
Wanderers Cricket Ground, Windhoek - Namibia;2019-2019;1;1;0;0;307;17;474;1805;388
Affies Park, Windhoek - Namibia;2019-2019;1;1;0;0;329;15;460;2193;429
